adlist_id,user_fingerprint,,user_id_encode,item_id_encode
15474008,fabcea94-7518-44a2-b5d4-a8c3b8012aa6,,77,1
23234875,29470a9d-d065-410c-8b35-31a598add551,,11,2
25308013,11bd997d-3fbc-4171-9620-851df209e347,,6,3
27098139,71b191f9-dad8-4ebf-833e-9c52777d9996,,38,4
27554490,425a2c49-db51-4375-ba74-6efa17754955,,19,5
30691241,bc2eadf7-2b57-4305-b2ec-202abbf9a475,,58,6
31253181,04fec418-63c0-463c-95b0-f96087efb92d,,3,7
31522488,cfa9f21d-51da-49bc-9f84-168defd1e98f,,64,8
32873183,79628a58-b103-4164-92ca-1821ffb340f1,,41,9
32978161,11bd997d-3fbc-4171-9620-851df209e347,,6,10
33624667,03ec0d30-ae73-4718-8f67-84d0c71bb3d6,,1,11
33624667,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,11
33920654,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,12
34325923,11bd997d-3fbc-4171-9620-851df209e347,,6,13
34412023,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,14
34473182,11bd997d-3fbc-4171-9620-851df209e347,,6,15
34518379,a189cd10-865d-4940-9315-fae870dea434,,53,16
34518379,f5525c44-0da0-4fd1-b84c-0b2aa0d42327,,75,16
34525902,66b03ed0-809f-4fc4-8cd7-d7e3bf332e0b,,32,17
34923346,89b9ccb6-f7a3-4d2b-a950-0d9a72804e6c,,45,18
35341035,f5525c44-0da0-4fd1-b84c-0b2aa0d42327,,75,19
35949517,f5525c44-0da0-4fd1-b84c-0b2aa0d42327,,75,20
36638699,03ec0d30-ae73-4718-8f67-84d0c71bb3d6,,1,21
36638699,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,21
36834592,46fbb6b9-c246-4b62-948e-75942dd8e31b,,22,22
37070145,49beb268-8b94-41ba-9f4f-02a774f9e07f,,24,23
37070145,e5031a9e-f56a-4bc4-9d0b-0f7fb49de209,,71,23
37080863,11bd997d-3fbc-4171-9620-851df209e347,,6,24
37162194,80053177-604d-483b-a831-09cd4c07a793,,43,25
37431571,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,26
37620384,04fec418-63c0-463c-95b0-f96087efb92d,,3,27
37946715,e15c2780-b03a-463e-aba9-76be81a3b62e,,70,28
38085589,4d588d34-b005-4e72-8144-c9f9b8fd842f,,26,29
38687162,cfa9f21d-51da-49bc-9f84-168defd1e98f,,64,30
38873588,32593e71-f453-40bb-89eb-943b0bcd5dee,,12,31
39089321,044f265e-6406-451b-91e0-747012242979,,2,32
39144124,68db2965-67c1-431d-bf5f-1a9c673f6394,,33,33
39297776,b5be59e6-5259-4d00-8118-f1bcbc6a893d,,55,34
39457744,e15c2780-b03a-463e-aba9-76be81a3b62e,,70,35
39465331,926da28c-000f-4676-a2ac-a24c348c0827,,48,36
39887577,9c2439d8-f296-4c3c-b4dd-132a2915dbff,,52,37
40089873,3618f309-2641-4646-ae4f-c3a7443df631,,15,38
40222092,926da28c-000f-4676-a2ac-a24c348c0827,,48,39
40789654,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,40
41114508,18e72b17-58d6-4ca4-8e94-ce07ae923a6b,,8,41
41217197,66b03ed0-809f-4fc4-8cd7-d7e3bf332e0b,,32,42
41276008,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,43
41370642,b7464a9d-b1b5-4304-a6e5-ef5f09b3b4da,,57,44
41422631,9a2c2d90-b3cc-42c8-834b-656e9c1de8e5,,50,45
41522920,bc2eadf7-2b57-4305-b2ec-202abbf9a475,,58,46
41579273,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,47
41583152,e15c2780-b03a-463e-aba9-76be81a3b62e,,70,48
42004034,80053177-604d-483b-a831-09cd4c07a793,,43,49
42101823,61e42f0b-8b7c-4f9f-a5e0-2a2db94bfcdf,,30,50
42198135,3ce0978d-b387-43d4-93d7-8bf06bfc3ccd,,18,51
42233637,044f265e-6406-451b-91e0-747012242979,,2,52
42269463,9a2c2d90-b3cc-42c8-834b-656e9c1de8e5,,50,53
42312579,7a1a9772-f52f-4eb4-983e-7febf40f026d,,42,54
42425283,71b191f9-dad8-4ebf-833e-9c52777d9996,,38,55
42553256,71b191f9-dad8-4ebf-833e-9c52777d9996,,38,56
42866513,e15c2780-b03a-463e-aba9-76be81a3b62e,,70,57
42896560,9c2439d8-f296-4c3c-b4dd-132a2915dbff,,52,58
42896560,cdeb235b-d1e3-425c-889c-62f1447ce97c,,63,58
43543491,425a2c49-db51-4375-ba74-6efa17754955,,19,59
43838107,03ec0d30-ae73-4718-8f67-84d0c71bb3d6,,1,60
43948638,9c2439d8-f296-4c3c-b4dd-132a2915dbff,,52,61
44007811,89b9ccb6-f7a3-4d2b-a950-0d9a72804e6c,,45,62
44007811,b5be59e6-5259-4d00-8118-f1bcbc6a893d,,55,62
44014039,89b9ccb6-f7a3-4d2b-a950-0d9a72804e6c,,45,63
44029651,29470a9d-d065-410c-8b35-31a598add551,,11,64
44145711,f5e410aa-54b1-49fa-b177-74e1b0ec4bf8,,76,65
44372762,cfa9f21d-51da-49bc-9f84-168defd1e98f,,64,66
44372762,e103a952-e6a1-4d2d-bc1c-980b25cefb42,,69,66
44417869,03ec0d30-ae73-4718-8f67-84d0c71bb3d6,,1,67
44888845,3b3e2546-517e-4be6-9fd9-eabc7cb4671d,,17,68
44890527,71b191f9-dad8-4ebf-833e-9c52777d9996,,38,69
44991552,e103a952-e6a1-4d2d-bc1c-980b25cefb42,,69,70
45168083,11bd997d-3fbc-4171-9620-851df209e347,,6,71
45224319,9c2439d8-f296-4c3c-b4dd-132a2915dbff,,52,72
45282428,18e72b17-58d6-4ca4-8e94-ce07ae923a6b,,8,73
45288900,18e72b17-58d6-4ca4-8e94-ce07ae923a6b,,8,74
45418912,9a669811-0bf0-4501-9690-c0b891c6c009,,51,75
45575228,3618f309-2641-4646-ae4f-c3a7443df631,,15,76
45669887,9a2c2d90-b3cc-42c8-834b-656e9c1de8e5,,50,77
45697049,fabcea94-7518-44a2-b5d4-a8c3b8012aa6,,77,78
45699810,4d588d34-b005-4e72-8144-c9f9b8fd842f,,26,79
45706095,11bd997d-3fbc-4171-9620-851df209e347,,6,80
45777928,c5c362dd-0301-4a32-8662-e47b5aacb212,,60,81
45822537,fabcea94-7518-44a2-b5d4-a8c3b8012aa6,,77,82
45845178,9a669811-0bf0-4501-9690-c0b891c6c009,,51,83
45932734,425a2c49-db51-4375-ba74-6efa17754955,,19,84
46039130,992307de-2250-40c5-8ed2-ab86094b8d4e,,49,85
46061648,32593e71-f453-40bb-89eb-943b0bcd5dee,,12,86
46484510,926da28c-000f-4676-a2ac-a24c348c0827,,48,87
46583218,992307de-2250-40c5-8ed2-ab86094b8d4e,,49,88
46652859,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,89
46713480,cfa9f21d-51da-49bc-9f84-168defd1e98f,,64,90
46841637,425a2c49-db51-4375-ba74-6efa17754955,,19,91
46872236,992307de-2250-40c5-8ed2-ab86094b8d4e,,49,92
46920063,7a1a9772-f52f-4eb4-983e-7febf40f026d,,42,93
46947804,6f722a30-15e6-4adf-8865-7c2ecd746650,,37,94
47064814,3b3e2546-517e-4be6-9fd9-eabc7cb4671d,,17,95
47064814,66b03ed0-809f-4fc4-8cd7-d7e3bf332e0b,,32,95
47179108,a189cd10-865d-4940-9315-fae870dea434,,53,96
47326352,68db2965-67c1-431d-bf5f-1a9c673f6394,,33,97
47360167,7a1a9772-f52f-4eb4-983e-7febf40f026d,,42,98
47574483,e15c2780-b03a-463e-aba9-76be81a3b62e,,70,99
47574743,c5c362dd-0301-4a32-8662-e47b5aacb212,,60,100
47784533,79628a58-b103-4164-92ca-1821ffb340f1,,41,101
47847639,3618f309-2641-4646-ae4f-c3a7443df631,,15,102
47849107,e89cff03-6753-4cf5-8a1f-3dbcbee4c791,,73,103
47951776,926da28c-000f-4676-a2ac-a24c348c0827,,48,104
